Predicted Sales,Actual Sales
52788.6779,60648
48955.43623,39071
76160.68518,57542
125716.8126,80172
280760.7156,214892
36743.45939,47315
40428.25195,36189
42312.87378,25544
38288.84895,36749
36497.62336,30588
40572.41783,27595
29146.92428,32905
43649.29283,52245
54899.34946,60787
37035.22807,65208
33349.24345,23788
37296.20402,25334
75198.5778,56603
37677.23988,33544
70464.28955,63137
51599.46644,70133
31311.3883,46642
59682.87529,26141
49495.21228,38326
26384.23081,24730
36327.80909,69610
39196.18353,30807
36946.07127,41977
50072.29806,47230
50391.91802,51490
28704.10721,31871
42094.9839,51948
42558.95652,26374
39832.49151,23712
37706.42669,39159
35538.01803,31014
28496.82741,25452
39492.87976,23059
73564.49318,82776
35295.91565,27425
29328.80994,31694
52925.03837,69455
48879.82086,44041
42310.3116,83158
27211.49942,25954
38417.71114,42220
57743.33616,30467
45885.10056,55237
39667.43254,32294
58316.34505,29862
44877.84894,41669
73096.82457,55087
45947.85905,40927
40438.83795,39615
48199.0866,49071
52421.73393,34450
41593.11525,40018
49791.4306,34567
44089.33146,43541
51728.619,66029
37504.22168,46053
42246.69736,47175
61808.70959,56917
44719.56534,28592
35481.20781,35573
41121.13492,99649
42326.36363,29123
62692.91097,64572
24032.03089,28395
49381.56035,34973
31905.05675,24578
32683.37724,25610
69540.47721,114879
34023.63078,23377
45555.47322,39785
37119.19672,25031
100276.0257,135502
37059.84685,39770
42966.66683,35542
30097.2575,23789
86843.51831,105370
61510.15319,73681
31251.03278,22875
38831.00699,26335
73943.31751,49110
29166.18796,29625
45971.52835,53620
26934.36169,23082
48022.03997,23248
71372.28185,45010
46632.60638,47762
30860.17002,29929
31427.52379,27301
32624.75037,24775
62682.44071,45924
27540.29153,24351
46487.91861,32756
86675.92494,101608
38283.16369,73379
39845.80545,48168
39302.55248,27697
31129.70838,28605
52958.28657,63315
48098.63195,29242
35492.84405,26815
42948.43136,27209
37861.99634,50080
38375.16878,56721
29079.86596,38593
41456.86077,52473
71847.16993,51794
47883.29017,66350
29151.9298,30283
47613.66728,49053
59682.36295,53960
29597.90803,27953
36765.77591,31791
100008.892,188002
61731.68789,51242
28963.05243,24797
40080.21587,140316
68211.06769,57222
26926.8577,25193
37705.3286,24350
81540.87494,103002
63891.04923,54449
43741.00193,34275
47008.12247,37729
41056.70404,25947
40420.39893,55220
34513.36147,31816
42362.22779,35559
42124.23988,29583
50382.62371,72782
46463.60367,81067
37381.73487,33985
52726.65858,49794
41608.32996,25581
25652.31207,22977
43060.88039,34592
72897.50912,36330
33154.83182,23319
81581.57671,142212
48515.95515,34478
48315.37749,60545
41029.63987,78727
65055.18716,66644
36900.87932,33885
43056.6902,26858
41791.81908,32230
33941.58851,25582
32924.93661,25944
25074.71857,27463
48719.36974,54031
59561.15001,53089
53101.14731,40465
63321.64337,68838
43398.36915,42517
38355.66661,41172
35848.88522,24398
44836.64436,31027
34553.35295,28355
31208.61938,24855
67800.634,65897
58557.38028,65054
38546.1706,27635
81752.41059,108750
36328.35749,45068
47089.34487,36371
35489.68992,22794
34341.83175,25643
34923.2886,31428
28452.97357,26302
75432.72487,68792
68420.04709,73317
37173.63073,25640
35992.49778,33512
25207.96896,27455
33755.58476,26158
39803.1266,64709
60486.09259,83781
54312.74275,26395
35453.82972,25736
29490.5229,25384
49704.72021,36897
119885.6701,178092
34642.00856,51384
35687.32932,26349
29200.72765,33500
38999.84812,27986
39963.79159,34105
47649.15153,38855
70443.23394,91464
61229.6311,35394
274407.3195,159357
34258.58229,61268
29695.72805,46224
32874.25675,25783
52257.97017,62809
43744.48483,27308
50397.47169,48627
33697.58007,23311
43538.94884,35103
54034.77133,60539
42545.63797,37199
41135.16138,39703
49438.34295,32398
47008.55871,50837
28874.32345,27909
25291.63912,29270
69899.63642,75229
28512.6768,52443
26287.69331,23006
51494.77672,98094
249820.9198,223996
59239.9534,25006
86077.6501,31952
46220.51305,47316
60317.96364,54089
55551.48573,134772
170065.0091,164742
40555.22949,45547
64311.40254,48880
41958.9479,33984
32103.78716,40638
27555.34989,27253
33045.61522,34640
42620.52079,52477
73906.65132,198379
32547.80956,30788
29554.57882,39466
29571.92263,26593
52758.12827,46721
132342.9848,127755
42643.36152,31831
120816.0616,127217
39132.8818,64878
38170.20323,22904
43120.82845,48044
33017.79912,32800
104752.4974,65289
22080.32737,30112
35076.1221,58949
29707.43657,23929
35664.86812,23846
34817.06976,38416
26174.10019,36158
47933.91542,52725
46564.85191,37737
57024.99958,66643
117665.7228,197146
43287.90375,39766
36334.6358,25832
30841.90704,31339
54817.92975,65596
70320.84381,76536
63903.69409,124107
48620.01247,59006
30189.13707,49474
34323.95962,27244
56359.05061,54443
33297.03899,34956
57713.29617,54199
29172.06617,23663
25664.56693,25626
33767.51423,31154
43034.80234,41797
47598.91632,26731
117868.5171,154445
37902.18339,32688
51152.43587,44513
30848.43357,23316
39926.75946,48459
85374.14981,122140
40493.27071,25716
37321.31041,38912
37142.72504,23881
82756.05918,122734
58288.92437,77457
40907.45937,28034
40065.89005,44525
26838.82894,23618
102724.2247,204370
35275.24076,23532
28652.68887,22934
33549.50795,32658
49255.07295,41025
39021.60052,29800
46271.40349,57925
44554.59515,47007
28749.50217,28690
40728.03771,36154
69672.08545,62009
46863.68224,33054
48110.72967,30747
22336.38444,23032
42057.41554,23284
23818.83985,27003
48256.81551,57145
47858.50175,37810
44243.49504,23840
48232.89527,37686
46106.35096,58055
38719.31617,31082
114008.9647,134876
37658.87129,29509
42181.68135,38681
61332.19502,27165
32595.59031,24795
25619.10536,28408
65912.16429,95643
73458.02359,57281
33765.48215,26443
40063.43258,54833
28677.63673,31195
37961.0786,34560
47444.71582,60052
47146.45434,25085
33756.08081,46654
88101.25507,66793
63350.8036,85033
51994.86814,38436
60412.58577,72832
44664.48509,29303
115160.0566,151608
68929.38823,37070
33500.47368,24901
32143.80369,33028
38552.79769,43347
87718.41281,60966
45396.79807,74435
44481.85221,39673
32950.81691,57845
38007.94718,28383
86993.99188,171561
34307.63397,23744
46361.6375,39284
37144.66736,24857
32700.06866,34250
36655.3415,44858
39355.19988,36001
93564.11403,51381
51565.38861,43922
48272.47516,27489
53026.32221,31705
62928.23798,34130
63377.82125,67876
47988.29076,47101
42455.25803,26078
34224.0285,33850
34834.0616,29123
64733.03846,50117
42250.38198,23948
31806.05245,35351
62973.55677,24802
63929.21993,65277
36789.74178,32003
63639.41459,36698
46230.16707,33397
52579.02887,49153
42168.10227,30466
32306.54673,25023
31487.2843,23977
40191.15722,26651
44803.64409,25899
50152.36822,74817
37111.79028,29109
35788.1904,25282
37860.64844,56176
37165.36412,45622
37025.20011,24881
29072.39319,26019
39781.34606,30155
117451.7016,75813
63440.63751,102792
31540.06947,23354
46328.63106,49383
65335.00418,56506
34706.46576,23564
40455.75383,69886
34088.97884,29598
48544.15434,34917
36333.1274,24239
57912.52695,67800
29146.13141,25183
40383.57007,22804
33927.05891,38846
34498.7534,25820
52202.75553,39726
52588.52491,42265
30801.14339,42058
37170.74092,31643
35998.2962,59019
122331.4398,137205
52929.54474,36268
37905.65899,26690
58731.37604,32547
32554.26839,29054
42187.15654,38485
47021.73162,31345
46383.68572,34610
31930.43317,27877
42854.04648,57240
65736.14248,51727
56565.44591,47114
40797.99324,33159
33391.74541,28036
56300.26421,64367
31975.68593,30745
66852.45521,61339
35239.29455,34459
28937.72814,60592
77337.36956,46983
54463.96321,93362
37953.61337,31722
42273.44512,36958
105193.7546,53561
29160.4473,28778
58069.54279,54690
38577.68609,27573
45637.34635,57912
56546.42263,50888
48437.01321,33874
54376.87254,59875
39639.3282,32953
32959.94001,24321
69184.18632,42555
47759.96238,39373
73375.40323,24095
284974.9824,123877
58188.39181,45070
33930.26467,25521
79102.23997,83686
40694.98685,44931
50570.87958,30221
65063.4749,95114
43093.08415,32205
56332.67525,70454
29748.70871,22914
32975.65231,28203
43248.45982,40509
25229.59019,28709
61316.80919,48097
30000.82143,33158
34159.67793,24309
48608.36245,26488
48128.42935,34137
36277.57151,38945
33283.1166,28258
23811.26348,28036
37016.51404,48690
33743.6606,36809
43065.60052,34302
69892.74911,99061
40830.75311,29627
169008.1488,141984
36170.39665,31799
27727.76193,41286
29295.08585,26267
31542.55009,24328
141713.7587,80287
34336.86179,29642
35879.31027,26480
34069.13526,27604
31269.31874,29035
33682.24736,32563
34243.46606,34143
52004.9097,28355
28448.39456,39048
34647.98365,27900
26008.8115,32926
33164.68472,23271
37901.10009,47161
33832.09643,28196
55331.58983,23355
37149.98552,29024
31992.41759,27430
33151.28698,27455
26318.02407,30367
38500.22652,32970
26665.39385,28037
26104.23126,25554
47683.37598,77357
31598.89463,29187
29046.54218,26720
40929.01806,28605
36504.55423,28304
105740.0357,65567
37782.19649,46008
43530.0513,55232
47498.20322,63841
24940.19174,25965
79902.57034,26393
48745.02794,31851
35992.54994,28217
26290.75648,31994
31516.00231,35025
48644.82521,41034
43017.65403,23513
