shop_name,digital_listing_count,sold_count,active_listing_count,favorites_count,average_rating,total_rating_count
whimsyandpop,0,240018,394,21827,4.9343,56876
VermeilSupplies,0,238028,1684,20667,4.7652,25760
funkyprettybeads,0,237316,1940,24265,4.9442,46822
BackfistCustoms,3,236292,1240,18609,4.9174,27538
WeddingsDecorandMore,0,235926,928,5102,4.782,29686
GardenEazy,0,234936,159,6106,4.7543,13350
ZenspireDesigns,208,234640,1914,15523,4.9822,12822
MyPersonalMemories,0,233688,901,15689,4.9246,37340
NanasPrettyGirls,0,232258,771,8130,4.9339,23454
Nbeads,0,229355,4131,20332,4.9283,24689
signaturetshirts,0,228909,1879,24650,4.8785,32345
MarciaEmbroidery,2030,227556,2030,7479,4.9154,10641
OhanaJewelsShop,0,227395,521,27418,4.8792,32842
strongconfidentYOU,0,225312,626,30670,4.8952,33542
DoubleJoyDesigns,0,224298,83,4010,4.9436,20144
LythaStudios,0,223996,2877,23963,4.9737,63653
NaturalSucculents,0,223895,699,12910,4.9123,24688
WishUponMagic,0,222450,499,53275,4.9837,52560
ShopEmilyG,0,222280,1722,25467,4.7409,31732
WoodByStu,0,221353,1025,9822,4.9628,47304
AMBillustrations,2027,221044,2028,15558,4.9091,17458
VeryCharms,0,219860,5713,18654,4.9058,34836
ShineDIY,0,218802,1103,11955,4.8278,67192
SilverPost,0,218263,1031,26061,4.9092,56080
MichouBeads,0,217610,5549,15734,4.9584,43765
SouthernSeedExchange,0,216913,644,7445,4.9432,16345
HappyCutieStudio,0,216178,1231,15290,4.9694,50725
everythingribbons,0,216090,996,21436,4.9668,66522
allearringsandsuppli,0,214892,1794,20634,4.9776,72941
bunnysundries,0,214154,1981,24437,4.9369,74383
delishbeads,0,213829,357,38824,4.974,70340
LoveandLuxeHandmade,0,212832,1249,10225,4.9127,23016
VillaSorgenfrei,0,212193,138,99257,4.835,31626
TealsPrairie,0,212105,1141,39081,4.7227,35753
stitchesngiggles4U,0,210965,1950,13969,4.9709,48332
ForeverWeddingCrafts,0,210950,1423,7214,4.7391,28825
BrandysShop,0,210279,1370,7260,4.888,44850
LittlePrintsParties,4288,210096,4288,13780,4.9608,15572
MarryMePaperBoutique,3572,209648,3572,8821,4.9249,7246
TinyTbowtique,0,209225,59,12178,4.9237,19907
artapli,4677,208988,4677,15037,4.9124,16914
